Versuchseinstellung;Wert
VERSION;V2_3_156
DoCircles;0
MultipleTargets;0
Gridsized;0
FbTouchColor;1
FbTouchSound;1
FbTouchColorAll;0
NextFrameOnTouch;1
rounds;100
DeviceMouse;1
DeviceTouch;0
DevicePen;0
DeviceType;asus slate
UserName;Julian1
UserAge;25
UserRemark;
UserGender;0
COMPUTERNAME;ZENBOOK
USERNAME;Julian
OS;Windows_NT
Timestamp;2018-03-16_09.39.37
DoGraphicsOutput;1

Fensterfläche;Objektfläche;Kreis;Start_x;Start_y;x_min;x_max;y_min;y_max;BoundingBox;Dreiecksfläche_K1;Dreiecksfläche_K2;Fitts_Width;Fitts_Distance;Zeit (mS)
1862352;9690;0;596;548;813;927;585;670;40382;21021,5;25186,2;118,406;285,161;344;
1862352;988;0;819;587;386;412;702;740;66249;10216;13340,5;27,2029;440,858;984;
1862352;6400;0;389;718;1492;1556;99;199;722373;78158;82551,3;71,5542;1269,64;719;
1862352;3016;0;1553;148;1157;1209;388;446;118008;19232;28656,5;63,2456;457,451;719;
1862352;4920;0;1208;399;1585;1667;231;291;77112;20658;25529,8;86,6487;440,191;563;
1862352;10920;0;1595;275;419;524;77;181;232848;71547;82934,6;104,938;1133,44;625;
1862352;3276;0;522;125;959;987;550;667;252030;34790,5;58932,7;41,0366;660,825;1219;
1862352;2993;0;960;593;641;714;566;607;13079;8036;15614,7;72,0278;283,087;547;
1862352;2520;0;704;572;594;666;265;300;33770;12977;17839,1;35,4401;299,292;672;
1862352;7552;0;663;298;234;352;638;702;173316;37564;43925,1;90,5097;524,675;640;
1862352;9047;0;239;656;1065;1148;699;808;138168;55848,5;78358,3;82,6075;872,409;579;
1862352;3600;0;1068;761;658;730;48;98;292330;35918;67579,1;57,3062;783,084;578;
1862352;4466;0;726;61;305;382;638;696;267335;36656,5;65279,6;68,2642;716,886;797;
1862352;2814;0;327;639;1044;1086;422;489;164703;29983,5;53661,8;43,1741;760,592;672;
1862352;3255;0;1054;459;276;369;643;678;170382;23798,5;26043,1;95,0789;759,095;828;
1862352;6734;0;279;647;420;511;563;637;19488;12406;14647,6;92,6499;191,846;813;
1862352;10260;0;508;597;914;1004;149;263;222208;48432;51662,4;119,097;596,894;546;
1862352;8190;0;995;262;1421;1499;231;336;52920;30555;41726,8;78,1025;465,474;656;
1862352;1804;0;1425;274;44;126;377;399;172625;20316;24649,6;82,2192;1344,84;1078;
1862352;10902;0;45;390;937;1075;286;365;107120;47861;53172,2;138,362;963,196;625;
1862352;1420;0;959;326;1387;1458;613;633;153193;15888,5;35137,9;37,7359;550,071;657;
1862352;8560;0;1452;615;1516;1623;84;164;90801;35248,5;52233,6;82;504,747;438;
1862352;3948;0;1590;127;370;511;384;412;347700;37172,5;67623,9;121,277;1181,5;718;
1862352;3040;0;402;387;1469;1564;500;532;168490;25479,5;52752,2;94,7629;1121,44;891;
1862352;12780;0;1482;531;1302;1444;420;510;19980;15981;16183,5;164,985;127,424;343;
1862352;1176;0;1443;472;1389;1431;580;608;7344;3612;3987,75;29,1204;126,384;359;
1862352;9450;0;1402;581;259;394;149;219;493776;69165;77139;143,024;1146,9;641;
1862352;3502;0;391;186;1298;1332;698;801;578715;58916,5;68037,6;40,4969;1082,01;641;
1862352;6656;0;1302;716;1;105;679;743;83264;44960;86147,9;104,019;1249,01;734;
1862352;2380;0;2;689;901;921;118;237;524749;60390,5;98666,3;22,3607;1043,28;953;
1862352;1288;0;915;166;1368;1391;280;336;80920;15283;39791,1;23,4094;485,242;672;
1862352;4082;0;1386;281;836;993;99;125;100100;21437;23969,9;78,4347;501,343;610;
1862352;4512;0;943;124;816;957;743;775;91791;48151,5;65152,7;32,0624;637,553;656;
1862352;5650;0;905;745;989;1039;121;234;83616;23171;27158,3;113,772;578,364;718;
1862352;6840;0;1001;206;1195;1347;258;303;33562;15157;22274,4;157,696;279,957;500;
1862352;2232;0;1244;277;1681;1705;365;458;83441;23608,5;24317,7;25,2982;468,569;672;
1862352;2448;0;1683;410;978;1002;413;515;74025;37215;45756,8;24,0832;695,101;625;
1862352;7344;0;1001;432;613;721;201;269;89628;25666;35897,4;125,539;387,769;672;
